1,bishi,,4
2,碧诗如果历史是一群喵见习偶像,kami.im 直男过气网红 # av362830 “We Are Star Dust”,6
3,囧囧倉,富强、民主、文明、和谐、自由、平等、公正、法治、爱国、敬业、诚信、友善。,4
4,枢木朱雀,有问题请自行联系解决,5
5,幻想乡VIP,,6
6,腹黑君大会员2018年度勋章,,5
7,Tzwcard见习搬运工,にじさんじが大好き 謝謝茄子 头像：江良ちゃん by またのんき▼先生,5
8,Lizeqiangds公主连结可可萝,有空来微博找我哦 @Lizeqinagd,4
9,柴刀娘木木工作细胞大会员2018年度勋章,双马尾即是正义！！【萌二小黑屋裙：111343151】家里供着两个主子：biubiu（母，纯白，中华田园）和皮卡丘（公，海豹重点布偶）,6
10,橙卡-bydmm出道偶像,Golang CRUD杂耍大师,5
11,春哥,,2
12,MagicBear拜年祭粉丝专鼠见习偶像,我是魔熊 MB 头像是我们家 皮卡丘,6
13,Frerik声优收集达人,,6
14,初音ミク,2020-07-02 已考古人数 228 ～(￣▽￣～)~,4
15,Nico,没签名,3
16,荼荼丸真·职人,现在专心做游戏ing，带项目忙，偶尔出没。,6
17,WEIghtness,包括但不仅限于“活了”，“考古”，“不要考古”等无意义评论会被删除并拉黑。,5
18,暁の赤月拜年祭粉丝专鼠VIP,YUI ~にゃん~,5
19,大大大罐头饭圈大佬,来考古的留步一下了解下铃木实里啊，谢谢！,6
20,恶魔晓月曲2020拜年祭·特典2015拜年祭纪念,你可以在很多地方看到我。,6
21,,,2
,,,
,,,
24,不思議酋长,No Music,No Life.,6
25,忙碌的呆瓜,2020/7/6,4
26,En1ightened,漫天的我滴到地上,树种的我发芽了，而你在想着我。,4
27,feng,,2
28,IamLogos,,3
29,管理員,***************,3
30,堆堆堆堆堆堆堆堆堆堆碧蓝航线,不卖号别问了 球球你们,5
31,習子,,4
32,一条黑黑青铜殿堂,小朋友们，别考古了。,5
33,山寨荼荼丸1号,这只是一件戏服而已,2
34,右肩の蝶,别问，活着,4
35,愛在二次元搬运纪念勋章,絢辻さんの下僕です。,5
36,芙兰朵露斯卡雷特,愛在二次元,2
37,折射大会员2018年度勋章,Up主≠作者，除非标明原创的投稿，其余搬运类视频询问事项不予以回复，请各位知悉。,6
38,山吹吹sho,LOFTER：http://tshooo.lofter.com/,6
39,Black★RockShooter,,2
40,周杰伦的秘密,周杰伦,3
41,不祥之赵,,5
42,超氪金月饼,还没开饭？,4
43,梦境之里,,4
44,带红点的白馒头,,5
45,绯色砕月,,2
46,藤原妹红,额,5
47,homil记忆U盘大会员2018年度勋章,栖息着双份灵魂,5
48,钦崽,,2
49,家具屋,,2
50,風見幽香,,2
